canonicalName,scientificName,Abbrev,Vernacular.name,Language,Meaning.of.the.name,n,star
Termitomyces microcarpus,"Termitomyces microcarpus (Berk. & Broome) R. Heim, 1942",Ter mic,gnede wadjou,Yom,Given name,1,
Marasmiellus inoderma,"Marasmiellus inoderma (Berk.) Singer ex Furneaux, 2020",Mar ino,gneteodjou,Yom,The lazy does't eat it,1,
Russula cf. grisea,"Russula grisea Fr., 1838",Rus gri,gno bente,Gando,Just a given name,1,
Russula cf. grisea,"Russula grisea Fr., 1838",Rus gri,gno bente,Gando,Small mushroom,1,
Amanita subviscosa,"Amanita subviscosa Beeli, 1931",Ama sub,gno bwenté,Gando,Small small mushroom,1,
"Amanita ""virido-odorata""",Amanita virido-odorata nom. prov.,Ama vir,gno bwenté,Gando,Just a given name,1,
Lactarius saponaceus,"Lactarius saponaceus Verbeken, 1996",Lac sap,gno bwenté,Gando,Just a given name,1,
Russula cf. grisea,"Russula grisea Fr., 1838",Rus gri,gno bwenté,Gando,Just a given name,1,
Russula cf. grisea,"Russula grisea Fr., 1838",Rus gri,gno bwenté,Gando,Small small mushroom,1,
Termitomyces clypeatus,"Termitomyces clypeatus R. Heim, 1951",Ter cly,gnougna foutcheros,Yom,"The hip of ""perdrix"" (b/c of the taste)",1,
Scleroderma sp.,Scleroderma Pers.,Scl sp,gomi awane,Gando,Termites mushroom,1,
Termitomyces fuliginosus,"Termitomyces fuliginosus R. Heim, 1942",Ter ful,gomidji lamou,Gando,"The king mushroom (it doesn't come alone, it is surrounded by others)",1,
Termitomyces schimperi,"Termitomyces schimperi (Pat.) R. Heim, 1942",Ter sch,gomidji lamou,Gando,"The king mushroom (it doesn't come alone, it is surrounded by others)",1,
Termitomyces clypeatus,"Termitomyces clypeatus R. Heim, 1951",Ter cly,gomio wane baleu,Peuhl,black termite fungi,1,
Cantharellus congolensis,"Cantharellus congolensis Beeli, 1928",Can con,gomomoucousou,Bariba,beacause of the shape,1,
Termitomyces microcarpus,"Termitomyces microcarpus (Berk. & Broome) R. Heim, 1942",Ter mic,gompeso,Yom,white mushroom,1,
Cyathus striatus,Cyathus striatus (Huds.) Willd. 1787,Cya str,gompi,Gando,Given name,0,*
Megacollybia sp.,Megacollybia Kotl. & Pouzar 1972,Meg sp,gompi,Gando,It grows everywhere,1,
Psathyrella sp.,"Psathyrella (Fr.) Quél., 1872",Psa sp,gompi,Gando,given name,2,
Psathyrella tuberculata,"Psathyrella tuberculata (Pat.) A.H. Sm., 1972",Psa tub,gompi,Gando,Given name,1,*
Psathyrella tuberculata,"Psathyrella tuberculata (Pat.) A.H. Sm., 1972",Psa tub,gompi,Gando,Just a given name,2,
Psathyrella tuberculata,"Psathyrella tuberculata (Pat.) A.H. Sm., 1972",Psa tub,gompi,Gando,This is just the given name,1,
Psathyrella tuberculata,"Psathyrella tuberculata (Pat.) A.H. Sm., 1972",Psa tub,gompim,Yom,Given name,7,*
Psathyrella tuberculata,"Psathyrella tuberculata (Pat.) A.H. Sm., 1972",Psa tub,gompim,Yom,Small mushroom,7,
Psathyrella tuberculata,"Psathyrella tuberculata (Pat.) A.H. Sm., 1972",Psa tub,gompim,Yom,Small Mushroom,5,
Scleroderma sp.,Scleroderma Pers.,Scl sp,gongaharou,Bariba,Mushroom of the cheese,0,*
Amanita masasiensis,"Amanita masasiensis Härk. & Saarim., 1994",Ama mas,gongouasse,Yom,Mushroom of wasa wasa,1,
Amanita xanthogala,"Amanita xanthogala Bas, 1969",Ama xan,gongouasse,Yom,Mushroom of wasa wasa,1,
Cantharellus addaiensis,"Cantharellus addaiensis Henn., 1898",Can add,gongouasse,Yom,Mushroom of the wassa wassa,1,
Cantharellus congolensis,"Cantharellus congolensis Beeli, 1928",Can con,gongouasse,Yom,Mushroom of the wassa wassa,1,
Cantharellus conspicuus,"Cantharellus conspicuus Eyssart., Buyck & Verbeken 2002",Can csp,gongouasse,Yom,Mushroom of the wassa wassa,0,*
Cantharellus platyphyllus,"Cantharellus platyphyllus Heinem., 1966",Can pla,gongouasse,Yom,Mushroom of the wassa wassa,2,
Cantharellus platyphyllus,"Cantharellus platyphyllus Heinem., 1966",Can pla,gongouasse,Yom,Mushroom of wasa wasa,1,
Lactifluus flammans,"Lactifluus flammans (Verbeken) Verbeken, 2012",Lfl fla,gongouasse,Yom,Mushroom of the wassa wassa,1,
Lactifluus flammans,"Lactifluus flammans (Verbeken) Verbeken, 2012",Lfl fla,gongouasse,Yom,Mushroom of wasa wasa,2,
Lactifluus gymnocarpoides,"Lactifluus gymnocarpoides (Verbeken) Verbeken, 2012",Lfl gym,gongouasse,Yom,Mushroom of the wassa wassa,1,
Lactifluus gymnocarpoides,"Lactifluus gymnocarpoides (Verbeken) Verbeken, 2012",Lfl gym,gongouasse,Yom,Mushroom of wasa wasa,2,
Russula congoana,"Russula congoana Pat., 1914",Rus con,gongouasse,Yom,Mushroom of the wassa wassa,1,
Russula congoana,"Russula congoana Pat., 1914",Rus con,gongouasse,Yom,Mushroom of wasa wasa,1,
Russula oleifera,"Russula oleifera Buyck, 1990",Rus ole,gongouasse,Yom,Mushroom of the wassa wassa,1,
Lactifluus gymnocarpoides,"Lactifluus gymnocarpoides (Verbeken) Verbeken, 2012",Lfl gym,gongouasse moam,Yom,Mushroom of the wassa wassa red,2,
Lactifluus gymnocarpoides,"Lactifluus gymnocarpoides (Verbeken) Verbeken, 2012",Lfl gym,gongouasse moar,Yom,Mushroom of the wassa wassa red,1,
Lactifluus gymnocarpoides,"Lactifluus gymnocarpoides (Verbeken) Verbeken, 2012",Lfl gym,gongouasse mori,Yom,Mushroom of wasa wasa red,1,
Russula congoana,"Russula congoana Pat., 1914",Rus con,gongouasse mori,Yom,Mushroom of wasa wasa red,1,
Amanita subviscosa,"Amanita subviscosa Beeli, 1931",Ama sub,gongouasse peri,Yom,Mushroom of wasa wasa white,1,
Lactifluus flammans,"Lactifluus flammans (Verbeken) Verbeken, 2012",Lfl fla,gongouasse peri,Yom,Mushroom of wasa wasa white,1,
Lactifluus flammans,"Lactifluus flammans (Verbeken) Verbeken, 2012",Lfl fla,gongouasse piro,Yom,Mushroom of the wassa wassa white,2,
Afroboletus luteolus,"Afroboletus luteolus (Heinem.) Pegler & T.W.K. Young, 1981",Afr lut,gonoujayara,Yom,Mushroom with the hat,1,
Termitomyces schimperi,"Termitomyces schimperi (Pat.) R. Heim, 1942",Ter sch,gotognata,Peuhl,One person cannot eat,1,
Cookeina sulcipes,"Cookeina sulcipes (Berk.) Kuntze, 1891",Coo sul,gougoubia,Bariba,There are a lot so everyone can have,1,
Russula congoana,"Russula congoana Pat., 1914",Rus con,goum moan,Yom,Red mushroom,1,
Russula congoana,"Russula congoana Pat., 1914",Rus con,goum mori,Yom,Red mushroom,1,
Lactarius tenellus,"Lactarius tenellus Verbeken & Walleyn, 2000",Lac ten,goum tchayara,Yom,Mushrooom shaped like a hat,1,
Lactifluus edulis,"Lactifluus edulis (Verbeken & Buyck) Buyck, 2011",Lfl edu,goum wassa beri,Yom,Mushroom of the wassa wassa blanc,0,*
Lactifluus flammans,"Lactifluus flammans (Verbeken) Verbeken, 2012",Lfl fla,goum wassa beri,Yom,Mushroom of the wassa wassa blanc,0,*
Russula cf. rubroalba,"Russula rubroalba (Singer) Romagn., 1967",Rus rub,goum wassa beri,Yom,Mushroom of the wassa wassa blanc,0,*
Chlorophyllum palaeotropicum,Chlorophyllum palaeotropicum Z.W. Ge & A. Jacobs 2018,Chl pal,goum wassa mori,Yom,Mushroom of the wassa wassa rouge,0,*
Russula congoana,"Russula congoana Pat., 1914",Rus con,goumousse,Yom,Red mushroom,1,
Psathyrella tuberculata,"Psathyrella tuberculata (Pat.) A.H. Sm., 1972",Psa tub,goumpim,Yom,Given name,0,*
Lactifluus flammans,"Lactifluus flammans (Verbeken) Verbeken, 2012",Lfl fla,goun topopaz,Yom,earings,1,
Macrocybe lobayensis,"Macrocybe lobayensis (R. Heim) Pegler & Lodge, 1998",Mac lob,gounarou nora,Yom,Penguin mushrrom,1,
Cantharellus platyphyllus,"Cantharellus platyphyllus Heinem., 1966",Can pla,goungouasse,Yom,Mushroom of the wassa wassa,1,
Lactarius luteopus,"Lactarius luteopus Verbeken, 1995",Lac lut,goungouasse,Yom,Mushroom of the wassa wassa,1,
Lactifluus edulis,"Lactifluus edulis (Verbeken & Buyck) Buyck, 2011",Lfl edu,goungouasse,Yom,Mushroom of the wassa wassa,1,
Marasmiellus inoderma,"Marasmiellus inoderma (Berk.) Singer ex Furneaux, 2020",Mar ino,goungouasse,Yom,Mushroom of the wassa wassa,1,
Amanita subviscosa,"Amanita subviscosa Beeli, 1931",Ama sub,gounloue,Yom,Mushroom with bag,0,*
Amanita masasiensis,"Amanita masasiensis Härk. & Saarim., 1994",Ama mas,gounloui,Yom,Mushroom with a bag,1,
Amanita strobilaceovolvata,"Amanita strobilaceovolvata Beeli, 1935",Ama stro,gounloui,Yom,Mushroom with a bag,1,
Amanita subviscosa,"Amanita subviscosa Beeli, 1931",Ama sub,gounloui,Yom,Mushroom with a bag,1,
Amanita subviscosa,"Amanita subviscosa Beeli, 1931",Ama sub,gounloui,Yom,Mushroom with bag,3,
Termitomyces schimperi,"Termitomyces schimperi (Pat.) R. Heim, 1942",Ter sch,gounsabia,Yom,Prince of the mushrooms,10,
Xerocomus sp.,Xerocomus Quél.,Xer sp,gourou-ouirou,Bariba,"When the clouds change to black (when you scratch it, it turns black)",1,
Macrocybe lobayensis,"Macrocybe lobayensis (R. Heim) Pegler & Lodge, 1998",Mac lob,gousika,Yom,twins (b/c they come in pairs),1,
Inocybe sp. 2,Inocybe “sp. 2”,Ino sp2,guerodji,Gando,This is just the given name,1,
Cantharellus platyphyllus,"Cantharellus platyphyllus Heinem., 1966",Can pla,gueyke,Bariba,"""potasse"" mushroom",8,
Lactifluus gymnocarpoides,"Lactifluus gymnocarpoides (Verbeken) Verbeken, 2012",Lfl gym,gueyke,Bariba,"""potasse"" mushroom",11,
Lactifluus gymnocarpoides,"Lactifluus gymnocarpoides (Verbeken) Verbeken, 2012",Lfl gym,gueyke,Bariba,"Mushroom of the ""potasse""",0,*
Lactifluus volemoides,Lactifluus volemoides (Karhula) Verbeken 2012,Lfl vol,gueyke,Bariba,"Mushroom of the ""potasse""",0,*
Pulveroboletus sokponianus,"Pulveroboletus sokponianus Badou, De Kesel, Raspé & Yorou 2018",Pul sok,hammasekenarou,Gando,The name of the yellow bird',1,
Amanita cf. craseoderma,"Amanita craseoderma Bas, 1978",Ama crd,hareredji,Gando,Mushroom that grows under the karité,1,
Cystolepiota sp.,Cystolepiota Singer,Cys sp,hareredji,Gando,Under the Karite,0,*
Termitomyces fuliginosus,"Termitomyces fuliginosus R. Heim, 1942",Ter ful,hareredji,Gando,Mushroom that grows under the karité,1,
Termitomyces striatus,Termitomyces striatus (Beeli) R. Heim 1942,Ter str,hareredji,Gando,Karité mushroom,1,
Termitomyces striatus,Termitomyces striatus (Beeli) R. Heim 1942,Ter str,hareredji,Gando,Mushroom that grows under the karité,1,
Leucocoprinus cepistipes,Leucocoprinus cepistipes (Sowerby) Pat. 1889,Leu cep,harerendji,Gando,Mushroom at the Karité tree (Shea butter),1,
